0	0	0
0.001	-0.003164532456	1.268097928e-07
0.002	-0.01265812971	2.028956674e-06
0.003	-0.02848079073	1.02715929e-05
0.004	-0.05063251148	3.246330372e-05
0.005	-0.07911328149	7.925610104e-05
0.006	-0.113923079	0.0001643454075
0.007	-0.1550618647	0.0003044700238
0.008	-0.2025295744	0.0005194120705
0.009	-0.2563261095	0.0008319968924
0.01	-0.3164513272	0.001268092913
0.011	-0.3829050285	0.001856611425
0.012	-0.4556869449	0.002629506295
0.013	-0.5347967245	0.003621773571
0.014	-0.6202339154	0.004871450964
0.015	-0.7119979489	0.006419617184
0.016	-0.8100881206	0.008310391103
0.017	-0.9145035709	0.01059093073
0.018	-1.025243263	0.01331143192
0.019	-1.14230596	0.01652512691
0.02	-1.265690203	0.02028828243
0.021	-1.395394281	0.02466019763
0.022	-1.53141621	0.02970320152
0.023	-1.6737537	0.03548265009
0.024	-1.822404128	0.04206692292
0.025	-1.977364506	0.04952741935
0.026	-2.138631451	0.0579385541
0.027	-2.306201148	0.06737775227
0.028	-2.480069319	0.07792544378
0.029	-2.660231184	0.08966505702
0.03	-2.846681428	0.1026830119
0.031	-3.039414155	0.1170687119
0.032	-3.238422858	0.1329145357
0.033	-3.44370037	0.1503158271
0.034	-3.655238826	0.1693708849
0.035	-3.873029619	0.1901809512
0.036	-4.097063358	0.2128501984
0.037	-4.327329817	0.2374857158
0.038	-4.563817895	0.2641974942
0.039	-4.806515565	0.2930984094
0.04	-5.055409828	0.3243042047
0.041	-5.31048666	0.3579334713
0.042	-5.571730969	0.3941076274
0.043	-5.839126536	0.4329508963
0.044	-6.112655972	0.4745902816
0.045	-6.392300659	0.5191555415
0.046	-6.678040701	0.5667791613
0.047	-6.969854872	0.6175963229
0.048	-7.26772056	0.6717448736
0.049	-7.571613713	0.7293652917
0.05	-7.881508788	0.7906006506
0.051	-8.197378695	0.8555965797
0.052	-8.519194743	0.9245012241
0.053	-8.846926587	0.9974652003
0.054	-9.180542173	1.074641551
0.055	-9.520007685	1.156185694
0.056	-9.865287492	1.242255374
0.057	-10.2163441	1.333010604
0.058	-10.57313809	1.428613612
0.059	-10.93562807	1.529228775
0.06	-11.30377065	1.635022557
0.061	-11.67752036	1.746163445
0.062	-12.0568296	1.862821872
0.063	-12.44164864	1.985170144
0.064	-12.83192553	2.113382367
0.065	-13.22760608	2.247634358
0.066	-13.62863382	2.388103561
0.067	-14.03494995	2.534968958
0.068	-14.44649332	2.688410977
0.069	-14.86320039	2.848611389
0.07	-15.28500521	3.015753208
0.071	-15.71183939	3.190020582
0.072	-16.14363207	3.371598687
0.073	-16.58030991	3.560673604
0.074	-17.02179708	3.757432202
0.075	-17.46801524	3.962062013
0.076	-17.91888354	4.174751099
0.077	-18.37431861	4.39568792
0.078	-18.83423458	4.625061195
0.079	-19.29854307	4.863059752
0.08	-19.76715324	5.109872384
0.081	-20.23997175	5.365687693
0.082	-20.71690284	5.630693928
0.083	-21.19784833	5.905078825
0.084	-21.6827077	6.189029434
0.085	-22.17137806	6.482731946
0.086	-22.66375428	6.786371518
0.087	-23.159729	7.100132085
0.088	-23.65919271	7.424196172
0.089	-24.16203382	7.758744706
0.09	-24.66813875	8.103956817
0.091	-25.17739198	8.460009637
0.092	-25.68967621	8.827078095
0.093	-26.20487239	9.205334713
0.094	-26.72285988	9.594949387
0.095	-27.24351653	9.996089182
0.096	-27.76671884	10.4089181
0.097	-28.29234207	10.83359689
0.098	-28.82026036	11.27028277
0.099	-29.35034694	11.71912928
0.1	-29.88247418	12.18028598
0.101	-30.41651386	12.65389827
0.102	-30.95233725	13.14010715
0.103	-31.48981534	13.63904901
0.104	-32.02881897	14.15085535
0.105	-32.56921903	14.67565262
0.106	-33.11088668	15.21356196
0.107	-33.65369349	15.76469899
0.108	-34.19751165	16.32917356
0.109	-34.74221419	16.90708957
0.11	-35.28767518	17.49854475
0.111	-35.83376989	18.10363043
0.112	-36.38037506	18.72243134
0.113	-36.92736904	19.35502544
0.114	-37.47463204	20.00148368
0.115	-38.02204634	20.66186985
0.116	-38.56949646	21.33624036
0.117	-39.11686938	22.02464412
0.118	-39.66405475	22.72712231
0.119	-40.21094504	23.44370827
0.12	-40.75743581	24.17442732
0.121	-41.30342583	24.91929665
0.122	-41.84881727	25.67832515
0.123	-42.39351589	26.45151331
0.124	-42.93743123	27.2388531
0.125	-43.4804767	28.04032789
0.126	-44.0225698	28.85591231
0.127	-44.56363222	29.6855722
0.128	-45.10359	30.52926454
0.129	-45.64237364	31.38693737
0.13	-46.1799182	32.25852976
0.131	-46.71616344	33.14397173
0.132	-47.25105388	34.04318428
0.133	-47.78453887	34.95607931
0.134	-48.31657273	35.88255963
0.135	-48.84711473	36.82251897
0.136	-49.37612916	37.77584198
0.137	-49.90358542	38.74240424
0.138	-50.42945796	39.7220723
0.139	-50.95372638	40.7147037
0.14	-51.47637536	41.72014702
0.141	-51.99739473	42.73824192
0.142	-52.51677939	43.76881923
0.143	-53.03452933	44.81170098
0.144	-53.55064956	45.86670047
0.145	-54.06515011	46.9336224
0.146	-54.57804595	48.01226287
0.147	-55.08935694	49.10240956
0.148	-55.59910776	50.20384174
0.149	-56.10732786	51.31633045
0.15	-56.61405134	52.43963853
0.151	-57.11931692	53.57352077
0.152	-57.6231678	54.71772402
0.153	-58.12565159	55.87198728
0.154	-58.62682023	57.03604186
0.155	-59.12672985	58.20961144
0.156	-59.62544069	59.39241225
0.157	-60.12301699	60.58415316
0.158	-60.61952687	61.78453583
0.159	-61.11504223	62.99325481
